time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.83581848034e-07,1.12127465998e-07,10.005651009,0.000111048299517,0.000551432285866,0.0,-6.29797315626e-05,1.03993277237e-05,0.188353961778,0.00531710025647,0.0231182442931,0.0,462.8741842834771,464.6895477298933,464.185143393666,464.6021009976811
0.12000000000000001,-2.14246087209e-05,4.27545351153e-06,10.0202708616,0.000389593419425,0.00173448331197,0.0,-0.000759239224995,0.000159359513298,0.298951153097,0.00325764161218,0.0118605387792,0.0,440.5497603747584,439.61806884519257,440.60224717130797,440.4318940994471
0.18,-0.000114464344581,2.52985182829e-05,10.0460385324,0.00100693245478,0.00233655242376,0.0,-0.00242492185889,0.00059602058949,0.559879530963,0.0215602925355,0.00610642505371,0.0,485.91146437969087,485.47985139005976,484.4412457045793,485.8152025773005
0.23999999999999996,-0.000316763094702,9.04736221586e-05,10.0856336848,0.00199190118874,0.00257450541512,0.0,-0.00435384981441,0.00171264409169,0.759846751888,0.00337139958266,-0.000701738923491,0.0,467.8993828621538,467.3690634818846,468.8709180639353,467.45580465658537
0.3,-0.000626257098356,0.000231389600585,10.1324016234,0.00207170552432,0.00234587915879,0.0,-0.00595076589354,0.00299794346606,0.799057672523,-0.00310213033947,-0.0108938461462,0.0,418.5048324416667,417.61695310200935,417.76648098525607,417.20169769768563
0.36000000000000004,-0.00103023459853,0.000454421921636,10.183822506,0.00199283214324,0.00149638154908,0.0,-0.00743754740601,0.00442269437784,0.914885962573,0.00204047726788,-0.0216512736444,0.0,442.5485515025361,441.66242112446776,442.805113167161,443.2279329833553
0.4200000000000001,-0.00150281064519,0.0007620014829,10.2420443178,0.00183143670367,0.000147844246331,0.0,-0.00817777136483,0.00583008728734,1.02574794902,-0.0144051942445,-0.0241773086106,0.0,441.24107485177655,441.0324802086325,441.93015062617206,440.5727241572825
0.48000000000000015,-0.00199110064589,0.00114421626687,10.3053539753,0.000879565358271,6.28183088991,0.0,-0.00795703941517,0.00682339215682,1.08451985294,-0.0189555687232,-0.026816256546,0.0,424.6907164192227,424.4641975063599,425.0066522844602,424.6165912968459
0.5400000000000001,-0.00242719746242,0.00157020871867,10.3777172177,6.2826618392,6.27996975729,0.0,-0.00636839929617,0.00722215950511,1.32733808848,-0.0341677780565,-0.0411296397985,0.0,481.8108940865185,480.7273683696074,481.82216625976025,480.6708101792675
0.6000000000000002,-0.00271796724259,0.00198193126861,10.4645426193,6.28115855562,6.27730880362,0.0,-0.0030117986526,0.00628974524956,1.56654405522,-0.0112193339778,-0.0517211101644,0.0,480.8884027895073,480.084534379864,480.1457922940794,481.8833448209061
0.6600000000000003,-0.00274600130254,0.00230889615153,10.5645889924,6.28092447016,6.27444573188,0.0,0.00242333813178,0.00456012734773,1.76804312542,0.00773967488688,-0.0407219763797,0.0,470.32281027782716,471.1725802496005,469.2341741825438,470.70360188756285
0.7200000000000003,-0.00240621302428,0.00253649421331,10.6742151764,6.28150210552,6.27145661895,0.0,0.00917011152109,0.00308166807012,1.88597334001,0.0131578109535,-0.0826510365105,0.0,447.48326014009905,444.05506230506626,445.2118332268791,445.654767158729
0.7800000000000004,-0.00160320306025,0.00269061035465,10.78973484,6.28227532306,6.26684937522,0.0,0.0180658873586,0.00213297199166,1.9645440327,0.012339690097,-0.0670854121803,0.0,432.4430789152963,433.74723563850364,434.0639632104736,433.9951902636397
0.8400000000000004,-0.00013172713909,0.00280114366264,10.9126373377,6.28311195444,6.26286192214,0.0,0.0314267153456,0.00164017924632,2.13190099203,0.0169731896644,-0.065231099051,0.0,461.5085039889613,461.65172323118827,461.18449881305025,461.5501905609355
0.9000000000000005,0.00229061066279,0.00290242975683,11.0483864361,0.000605806985761,6.25866914854,0.0,0.0498141266211,0.00184707960447,2.39254982337,-0.00347184437463,-0.0813307933249,0.0,489.51256014275936,488.3097689864514,490.698342501134,489.1782413752665
0.9600000000000005,0.00591785809481,0.00302738625563,11.1993873355,0.00016451052287,6.25352795949,0.0,0.0716985127649,0.00227938084146,2.64025858341,-0.0165457914927,-0.0962447499653,0.0,487.0356311842058,485.91347379775567,487.5860003063187,486.60843455345304
1.0200000000000005,0.0109590247789,0.00316362431155,11.3641954084,6.28203090828,6.24742154989,0.0,0.0970255252215,0.00212855832945,2.85281488687,-0.0360094406047,-0.116108049079,0.0,478.33978276625805,476.81634472337447,478.67283933929235,477.1893689535568
1.0800000000000005,0.0176576455298,0.00325449507517,11.5413655299,6.2797637695,6.24037536133,0.0,0.127060145561,0.000643306041172,3.05231130949,-0.0415973718126,-0.12023247429,0.0,474.72485829267583,474.39685095183336,475.6847195413589,475.2560338267516
1.1400000000000006,0.0261505423464,0.00321684558018,11.7265293086,6.2774760767,6.23336890605,0.0,0.156718219498,-0.00212905727481,3.11959793554,-0.0319647359507,-0.110631988651,0.0,435.0981790716378,435.88863203954196,435.3731093736804,436.1775653043033
1.2000000000000006,0.0367667247806,0.0029448834486,11.9198120205,6.27538948671,6.22740630129,0.0,0.197856224423,-0.0071664580463,3.32254752393,-0.0410931201482,-0.0831670611375,0.0,476.11048171796875,478.1990163660824,478.3694915940345,477.6734380847574
1.2600000000000007,0.0497464436374,0.00235363435112,12.1210438442,6.27255917385,6.22297355245,0.0,0.235240128054,-0.0127913609687,3.38496292197,-0.0635131007865,-0.0598450024907,0.0,434.2676694281125,436.2149959223572,437.4080894636376,435.5353721674579
